[13:07:44]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:45]	Lieutenant Ezyn Linmer entered observer.
[13:07:46]	Lieutenant Ezyn Linmer exited observer at their location.
[13:07:48]	Lieutenant Ezyn Linmer entered observer.
[13:07:49]	Lieutenant Ezyn Linmer exited observer at their location.
[13:08:09]	Lieutenant Ezyn Linmer entered observer.
[13:08:12]	Lieutenant Ezyn Linmer exited observer at their location.
[13:08:13]	Lieutenant Ezyn Linmer entered observer.
[13:08:13]	Lieutenant Ezyn Linmer exited observer at their location.
[13:08:14]	Lieutenant Ezyn Linmer entered observer.
[13:08:15]	Lieutenant Ezyn Linmer exited observer at their location.
[13:08:19]	[OOC] Sergeant RT-9824: Rebel uniforms are bad change my mind
[13:08:24]	[OOC] Lieutenant Ezyn Linmer: not as good as imperial
[13:08:28]	[OOC] Sergeant RT-9824: Truly
[13:08:30]	Lieutenant Ezyn Linmer entered observer.
[13:08:31]	Lieutenant Ezyn Linmer exited observer at their location.
[13:09:44]	Lieutenant Ezyn Linmer has killed Lieutenant Ezyn Linmer.
[13:09:49]	[OOC] Sergeant RT-9824: lmao
[13:10:02]	Lieutenant Ezyn Linmer entered observer.
[13:10:05]	Lieutenant Ezyn Linmer exited observer at their location.
[13:10:05]	Lieutenant Ezyn Linmer entered observer.
[13:10:08]	[OOC] Sergeant RT-9824: cringe
[13:10:09]	Lieutenant Ezyn Linmer exited observer at their location.
[13:10:13]	Lieutenant Ezyn Linmer entered observer.
[13:10:18]	Lieutenant Ezyn Linmer exited observer at their location.
[13:10:18]	Lieutenant Ezyn Linmer entered observer.
[13:10:21]	Lieutenant Ezyn Linmer exited observer at their location.
[13:10:21]	Lieutenant Ezyn Linmer entered observer.
[13:10:21]	Lieutenant Ezyn Linmer exited observer at their location.
[13:10:22]	Lieutenant Ezyn Linmer entered observer.
[13:10:23]	Lieutenant Ezyn Linmer exited observer at their location.
[13:10:26]	[OOC] Sergeant RT-9824: Life day event when?
[13:10:49]	[OOC] Lieutenant Ezyn Linmer: when ur mom
[13:10:51]	[OOC] Lieutenant Ezyn Linmer: probs today ngl
[13:10:51]	Lieutenant Ezyn Linmer entered observer.
[13:10:57]	[OOC] Lieutenant Ezyn Linmer: maybe around 5
[13:10:57]	[OOC] Sergeant RT-9824: Neato
[13:11:06]	[OOC] Sergeant RT-9824: Also Dead Space is fucking spooky
[13:11:27]	Lieutenant Ezyn Linmer exited observer at their location.
[13:11:28]	Lieutenant Ezyn Linmer entered observer.
[13:11:29]	Lieutenant Ezyn Linmer exited observer at their location.
[13:11:30]	Lieutenant Ezyn Linmer entered observer.
[13:11:31]	Lieutenant Ezyn Linmer exited observer at their location.
[13:11:33]	Lieutenant Ezyn Linmer entered observer.
[13:11:34]	Lieutenant Ezyn Linmer exited observer at their location.
[13:11:38]	Lieutenant Ezyn Linmer entered observer.
[13:11:39]	Lieutenant Ezyn Linmer exited observer at their location.
[13:11:42]	Lieutenant Ezyn Linmer entered observer.
[13:11:46]	Lieutenant Ezyn Linmer exited observer at their location.
[13:11:46]	Lieutenant Ezyn Linmer entered observer.
[13:12:24]	Lieutenant Ezyn Linmer exited observer at their location.
[13:12:25]	Lieutenant Ezyn Linmer entered observer.
[13:12:27]	Lieutenant Ezyn Linmer exited observer at their location.
[13:12:27]	Lieutenant Ezyn Linmer entered observer.
[13:12:28]	Lieutenant Ezyn Linmer exited observer at their location.
[13:12:34]	[OOC] Lieutenant Ezyn Linmer: fuck it we're gonna reprop
[13:12:49]	Lieutenant Ezyn Linmer entered observer.
[13:12:54]	[OOC] Sergeant RT-9824: now?
[13:12:56]	Lieutenant Ezyn Linmer exited observer at their location.
[13:12:57]	Lieutenant Ezyn Linmer entered observer.
[13:12:57]	Lieutenant Ezyn Linmer exited observer at their location.
[13:12:58]	[OOC] Lieutenant Ezyn Linmer: well
[13:12:59]	[OOC] Lieutenant Ezyn Linmer: yes and no
[13:13:06]	[OOC] Sergeant RT-9824: thank you for answering jackshit
[13:14:47]	[OOC] Sergeant RT-9824: Check general lmao
[13:15:02]	Lieutenant Ezyn Linmer entered observer.
[13:16:56]	[OOC] Sergeant RT-9824: Chicken is speaking some form of spider language.
[13:19:41]	Lieutenant Ezyn Linmer exited observer at their location.
[13:19:43]	Lieutenant Ezyn Linmer entered observer.
[13:19:48]	Lieutenant Ezyn Linmer exited observer at their location.
[13:19:51]	Lieutenant Ezyn Linmer entered observer.
[13:19:53]	Lieutenant Ezyn Linmer exited observer at their location.
[13:19:53]	Lieutenant Ezyn Linmer entered observer.
[13:19:53]	Lieutenant Ezyn Linmer exited observer at their location.
[13:19:59]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[13:20:02]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[13:20:03]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[13:20:42]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[13:21:04]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[13:21:13]	Lieutenant Ezyn Linmer used command '/ToggleRaise'.
[13:25:12]	Sergeant RT-9824 ran 'Equip' on item 'Thermal Detonator' (#55)
[13:29:37]	Lieutenant Ezyn Linmer has taken 176 damage from Sergeant RT-9824.
[13:29:37]	Sergeant RT-9824 has killed Lieutenant Ezyn Linmer with rw_sw_e22.
[13:31:08]	Lieutenant Ezyn Linmer has taken 172 damage from Sergeant RT-9824.
[13:31:08]	Sergeant RT-9824 has killed Lieutenant Ezyn Linmer with rw_sw_e22.
