[00:28:04]	CCA.C08-UNION.i5.19267 closed the 'Metal Cabinet' #1497 container.
[00:28:17]	CCA.C08-JUDGE.i1.91412 opened the 'Metal Cabinet' #1497 container.
[00:28:19]	CCA.C08-JUDGE.i1.91412 has gained a 'Combine Air Tank' #12936.
[00:28:21]	[OOC] James Albright: cables and scrap aren't contra unless they're found with something sus
[00:28:21]	CCA.C08-JUDGE.i1.91412 has gained a 'Cables' #13803.
[00:28:22]	CCA.C08-JUDGE.i1.91412 has gained a 'Cables' #13805.
[00:28:23]	CCA.C08-JUDGE.i1.91412 ran 'use' on item '9mm Pistol Bullets' (#12874)
[00:28:24]	CCA.C08-JUDGE.i1.91412 ran 'use' on item '9mm Pistol Bullets' (#13846)
[00:28:24]	CCA.C08-JUDGE.i1.91412 ran 'Eat' on item 'UU Brand Bread' (#15063)
[00:28:25]	CCA.C08-JUDGE.i1.91412 has gained a 'Cinderblock' #13809.
[00:28:27]	CCA.C08-JUDGE.i1.91412 has gained a 'Cables' #13804.
[00:28:28]	CCA.C08-JUDGE.i1.91412 has gained a 'Scrap Metal' #13745.
[00:28:30]	CCA.C08-JUDGE.i1.91412 closed the 'Metal Cabinet' #1497 container.
[00:28:34]	[OOC] James Albright: that's up to the discretion of the unit
[00:28:44]	[OOC] James Albright: deciding if it's sus or not
[00:28:52]	[OOC] CCA.C08-JUDGE.i1.91412: cables+cinderblock whip, lets go
[00:28:57]	[OOC] James Albright: lmao
[00:29:07]	[LOOC] CCA.C08-UNION.i3.98240 [X]: lmao
[00:29:13]	[OOC] CCA.C08-UNION.i5.19267: im watching you sucker
[00:29:14]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:29:14]	Morgan Beck exited observer at their location.
[00:29:23]	Morgan Beck entered observer.
[00:29:23]	Morgan Beck exited observer at their location.
[00:29:27]	James Jacob ran 'View' on item 'Notepad' (#7691)
[00:29:31]	CCA.C08-JUDGE.i1.91412 opened the '' #933 container.
[00:29:33]	CCA.C08-JUDGE.i1.91412 closed the '' #933 container.
[00:29:33]	CCA.C08-JUDGE.i1.91412 opened the '' #934 container.
[00:29:35]	CCA.C08-JUDGE.i1.91412 closed the '' #934 container.
[00:29:35]	[ME] Morgan Beck: quickly flashes his CWU ID against the lock, causing it to lock
[00:29:38]	James Jacob ran 'View' on item 'Notepad' (#7695)
