[16:25:23]	Lee Maylor has spawned 'models/props_vehicles/trailer001a.mdl'.
[16:25:24]	Lee Maylor entered observer.
[16:32:34]	Lee Maylor exited observer at their location.
[16:33:11]	Lee Maylor has spawned 'models/props/de_prodigy/desk_console1.mdl'.
[16:33:19]	Lee Maylor has spawned 'models/props/de_prodigy/ammo_can_03.mdl'.
[16:33:23]	Lee Maylor has spawned 'models/props/de_prodigy/ammo_can_01.mdl'.
[16:33:32]	Lee Maylor has spawned 'models/props/de_inferno/wall_lamp_ring.mdl'.
[16:33:36]	Lee Maylor has spawned 'models/props/de_inferno/wall_lamp_ring.mdl'.
[16:33:36]	Lee Maylor entered observer.
[16:33:42]	Lee Maylor exited observer at their location.
[16:34:23]	Lee Maylor has spawned 'models/props/de_train/pallet_barrels.mdl'.
[16:34:25]	Lee Maylor has spawned 'models/props/de_train/utility_truck.mdl'.
[17:02:34]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:35]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:35]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:36]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:37]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:38]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:38]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:39]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:40]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:41]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:41]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:42]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:43]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:44]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:44]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:45]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:46]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:47]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:47]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:48]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:49]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:50]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:50]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:51]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:52]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:53]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:54]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:54]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:55]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:56]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:57]	Lee Maylor has taken 1 damage from worldspawn.
[17:02:57]	Lee Maylor has taken 1 damage from worldspawn.
